"Mã SP","Tên Sản Phẩm","Brand Sản Phẩm","Giá Thuê","Giá Cọc","Size","Giá nhập","Tổng doanh thu SP","Tỉ lệ hoàn vốn (%)","Ảnh sản phẩm","Trạng Thái","Ảnh phụ"
"T023","Ciara Dress","Luciana","250.000 đ","400.000 đ","S","","220.000 đ","0,00%","","",""
"T028","Malina Dress","Sò Vintage","250.000 đ","600.000 đ","S","980.000 đ","990.000 đ","101,02%","https://github.com/thanhsang3197/sherent-hinhanh/blob/main/vay_thiet_ke_malina.jpg?raw=true","",""
"T024","Ocean Dress","","170.000 đ","400.000 đ","S","380.000 đ","0 đ","0,00%","","Đã thanh lý",""
"T029","Elina Dress","JuletbyGiang","210.000 đ","500.000 đ","S","550.000 đ","360.000 đ","65,45%","https://github.com/thanhsang3197/sherent-hinhanh/blob/main/vay_thiet_ke_elina.jpg?raw=true","",""
"T025","Indy Dress S (trắng)","Sò Vintage","250.000 đ","600.000 đ","S","","1.185.000 đ","0,00%","https://github.com/thanhsang3197/sherent-hinhanh/blob/main/vay_thiet_ke_indy_trang.jpg?raw=true","",""
"T026","Sherry Dress","Sauvee","230.000 đ","500.000 đ","S","","230.000 đ","0,00%","","",""
"T030","Joss Dress","Ononmade","280.000 đ","600.000 đ","S","","530.000 đ","0,00%","https://github.com/thanhsang3197/sherent-hinhanh/blob/main/vay_thiet_ke_joss.jpg?raw=true","",""
"T031","Momo Dress","Sò Vintage","250.000 đ","600.000 đ","S","","0 đ","0,00%","","",""
"T032","Sun Dress","Trân Ali","200.000 đ","400.000 đ","S","","220.000 đ","0,00%","https://github.com/thanhsang3197/sherent-hinhanh/blob/main/vay_thiet_ke_sun.jpg?raw=true","",""
"T033","Eveline Dress","Sò Vintage","280.000 đ","600.000 đ","S","900.000 đ","530.000 đ","58,89%","","",""
"T034","Milan Dress S","Wonderhouse","210.000 đ","600.000 đ","S","750.000 đ","390.000 đ","52,00%","https://github.com/thanhsang3197/sherent-hinhanh/blob/main/vay_thiet_ke_milan.jpg?raw=true","",""
"T035","Fiona Dress S","Wonderhouse","210.000 đ","600.000 đ","S","750.000 đ","180.000 đ","24,00%","https://github.com/thanhsang3197/sherent-hinhanh/blob/main/vay_thiet_ke_fiona.jpg?raw=true","",""
"T036","Femila Dress S Trắng","Wonderhouse","200.000 đ","400.000 đ","S","600.000 đ","710.000 đ","118,33%","https://github.com/thanhsang3197/sherent-hinhanh/blob/main/vay_thiet_ke_femila.jpg?raw=true","",""
"T037","Matcha Dress","Sò Vintage","250.000 đ","600.000 đ","S","980.000 đ","815.000 đ","83,16%","https://github.com/thanhsang3197/sherent-hinhanh/blob/main/vay_thiet_ke_matcha.jpg?raw=true","",""
"T038","Femila Dress S Xanh","Wonderhouse","200.000 đ","400.000 đ","S","650.000 đ","570.000 đ","87,69%","","",""
"T039","Tamy Dress","Trân Ali","220.000 đ","500.000 đ","S","","0 đ","0,00%","","",""
"T040","Donna Dress","Luciama","250.000 đ","400.000 đ","S","","220.000 đ","0,00%","","",""
"T041","Gem Dress","Ononmade","300.000 đ","600.000 đ","S","","0 đ","0,00%","","",""
"T042","Jessie Long Dress","Trioji","250.000 đ","400.000 đ","S","","198.000 đ","0,00%","https://github.com/thanhsang3197/sherent-hinhanh/blob/main/vay_thiet_ke_jessi_long.jpg?raw=true","",""
"T043","Lily Dress S","Jolie Loft","190.000 đ","300.000 đ","S","","160.000 đ","0,00%","https://github.com/thanhsang3197/sherent-hinhanh/blob/main/vay_thiet_ke_lily.jpg?raw=true","",""
"T044","Joy Dress S","Jolie Loft","200.000 đ","300.000 đ","S","","490.000 đ","0,00%","https://github.com/thanhsang3197/sherent-hinhanh/blob/main/vay_thiet_ke_joy.jpg?raw=true","",""
